iter	Logloss
0	0.6627106754
1	0.6321361237
2	0.6035695645
3	0.5821621725
4	0.5593242343
5	0.5369161516
6	0.5159999569
7	0.5020175515
8	0.485266143
9	0.4712219972
10	0.4589344942
11	0.4484366966
12	0.4372817086
13	0.4271003039
14	0.4180249389
15	0.4097778814
16	0.4020568958
17	0.3949491188
18	0.3885333426
19	0.3824981861
20	0.3769663623
21	0.3720103427
22	0.3672448908
23	0.3628552884
24	0.3589930676
25	0.3556501491
26	0.3525115473
27	0.3492976049
28	0.345952142
29	0.3427030862
30	0.3397314106
31	0.3373645904
32	0.3350219524
33	0.3328588639
34	0.3310261254
35	0.3289885146
36	0.3273282314
37	0.3256650193
38	0.3241023828
39	0.3224769754
40	0.3211167742
41	0.3197134614
42	0.3183735231
43	0.3172191522
44	0.3158536195
45	0.3146772968
46	0.3136273141
47	0.3126148306
48	0.3113024647
49	0.310526186
50	0.309574802
51	0.3086845028
52	0.3077361257
53	0.3069253225
54	0.3060387807
55	0.3058065006
56	0.3051225213
57	0.3044132974
58	0.3037455514
59	0.3030859737
60	0.3024129656
61	0.3018010884
62	0.3011785641
63	0.3005097691
64	0.2999926011
65	0.2998492046
66	0.2992801924
67	0.2988631538
68	0.2982155087
69	0.297846511
70	0.2973844719
71	0.296874122
72	0.296413297
73	0.2960458291
74	0.2957521385
75	0.2953394143
76	0.2949315497
77	0.2945093868
78	0.2941687606
79	0.2938602025
80	0.2933063914
81	0.292816973
82	0.2925632943
83	0.2920551142
84	0.291675388
85	0.2912522433
86	0.2908549694
87	0.2904688637
88	0.2901611496
89	0.2897381227
90	0.289436866
91	0.2890370615
92	0.2886801636
93	0.2883157626
94	0.2879905692
95	0.2877303274
96	0.2876839054
97	0.2874048506
98	0.2871140146
99	0.2868152637
100	0.2865483295
101	0.2861790501
102	0.2859130682
103	0.2856340949
104	0.2854376054
105	0.285106086
106	0.2849504205
107	0.2847500989
108	0.2846227596
109	0.2844238028
110	0.2842830437
111	0.2840790713
112	0.283840993
113	0.2838148215
114	0.2836197473
115	0.2833936133
116	0.2831872544
117	0.2828478306
118	0.2826198088
119	0.2824605138
120	0.2822561364
121	0.2819913443
122	0.2816579987
123	0.2814684696
124	0.2812102691
125	0.2810579952
126	0.2808934466
127	0.2806685388
128	0.280465847
129	0.2802674058
130	0.2800985067
131	0.2800602427
132	0.2798764897
133	0.2796728296
134	0.2794367636
135	0.2791750799
136	0.2789860137
137	0.278783556
138	0.2787742341
139	0.278549981
140	0.2784031421
141	0.2781689653
142	0.2778104542
143	0.2776528227
144	0.2774356445
145	0.27730787
146	0.2771428785
147	0.2769954953
148	0.2768271871
149	0.2767242619
150	0.2763610117
151	0.2761162007
152	0.2761013369
153	0.2759807564
154	0.2758377981
155	0.2757062817
156	0.275585598
157	0.2754352387
158	0.2752256943
159	0.2750771737
160	0.274969879
161	0.2748156833
162	0.2744798044
163	0.2742926312
164	0.2741397171
165	0.2739926109
166	0.2739060768
167	0.2737429034
168	0.2736420965
169	0.2734935248
170	0.273321073
171	0.2732112592
172	0.2730770245
173	0.272998802
174	0.2728835039
175	0.2727971843
176	0.2726816171
177	0.2726487846
178	0.2725276057
179	0.2724210197
180	0.2722966936
181	0.2722791674
182	0.2721432679
183	0.27196846
184	0.2716877881
185	0.2715380566
186	0.271432496
187	0.2712765515
188	0.2710802329
189	0.2710735292
190	0.2708739406
191	0.2707153205
192	0.2706989
193	0.2705457831
194	0.2704331047
195	0.2702927763
196	0.2702272484
197	0.2700448175
198	0.2698892617
199	0.2698121365
200	0.2698074047
201	0.2696535431
202	0.2694649138
203	0.269355548
204	0.2692658729
205	0.2691512587
206	0.2689272199
207	0.2688081901
208	0.2686748861
209	0.2685494698
210	0.2684800605
211	0.2683641654
212	0.2681292183
213	0.2680476201
214	0.268001109
215	0.2678439391
216	0.2677340397
217	0.2676000945
218	0.2675328908
219	0.2675244982
220	0.2673939894
221	0.2673178591
222	0.267259638
223	0.2671696821
224	0.2670983735
225	0.2669820747
226	0.2668787356
227	0.2667902203
228	0.2667304621
229	0.2666684606
230	0.2664643916
231	0.2663479524
232	0.2662372837
233	0.2661448422
234	0.2660189179
235	0.2657685941
236	0.2655966178
237	0.2655081647
238	0.2654096933
239	0.265328269
240	0.2651890547
241	0.265111279
242	0.2650515514
243	0.2649544974
244	0.2648136075
245	0.2647483023
246	0.264662054
247	0.2645159467
248	0.2643662874
249	0.2643657587
250	0.2642427198
251	0.2640783871
252	0.2640343618
253	0.2639467444
254	0.2638400465
255	0.2636917333
256	0.2634948185
257	0.2633750085
258	0.2632613535
259	0.2629880561
260	0.2629856997
261	0.2628956178
262	0.2628500705
263	0.2627798588
264	0.2627633431
265	0.2626521163
266	0.2625369982
267	0.2624772296
268	0.26238043
269	0.2623551394
270	0.262241661
271	0.2620926703
272	0.2620156164
273	0.2619482464
274	0.261826704
275	0.2618265518
276	0.2617634609
277	0.2617001269
278	0.2616552292
279	0.2615619895
280	0.2615325362
281	0.2614398106
282	0.2613258981
283	0.2612507865
284	0.261110674
285	0.2609154382
286	0.2608682922
287	0.2606463534
288	0.2604600155
289	0.2603548412
290	0.2602560945
291	0.260121052
292	0.2600055498
293	0.2600019649
294	0.2598688892
295	0.2597525376
296	0.2595685897
297	0.259476029
298	0.2594129913
299	0.2593163969
300	0.2592449828
301	0.2591017245
302	0.2590358751
303	0.2589903763
304	0.2589302778
305	0.2587829467
306	0.2587174326
307	0.2586187364
308	0.2585819817
309	0.2585074178
310	0.2583547173
311	0.2582774377
312	0.2582226459
313	0.2581361764
314	0.2581007472
315	0.258046841
316	0.2578970448
317	0.2578125715
318	0.2577074482
319	0.2576334707
320	0.2575621494
321	0.2574683393
322	0.2574095597
323	0.25737907
324	0.2572789394
325	0.2571166282
326	0.2571150265
327	0.2570715289
328	0.2570496565
329	0.2569529578
330	0.2568085939
331	0.256665908
332	0.2565407519
333	0.2564478234
334	0.256400144
335	0.2563036594
336	0.2561224518
337	0.2560798934
338	0.2559439633
339	0.2559112724
340	0.2558618902
341	0.2558188869
342	0.2557336169
343	0.2556837552
344	0.2555145107
345	0.2554891104
346	0.2554581949
347	0.2554581921
348	0.2554258278
349	0.2553387317
350	0.2552573042
351	0.2549805849
352	0.2548493816
353	0.2546597034
354	0.2545728904
355	0.2544633436
356	0.2543876215
357	0.2542829779
358	0.2541123412
359	0.2539074779
360	0.2537875175
361	0.2536846254
362	0.2535938981
363	0.2534472469
364	0.2533541716
365	0.2532447522
366	0.2531543125
367	0.2530956491
368	0.2530348898
369	0.2529015168
370	0.2526162463
371	0.2525301989
372	0.2524745526
373	0.2523740293
374	0.2522941828
375	0.2521735201
376	0.2520997148
377	0.2520051456
378	0.2519619512
379	0.2518881622
380	0.2517763377
381	0.2517478961
382	0.2516527487
383	0.2515817792
384	0.251503629
385	0.2513998779
386	0.2512885938
387	0.2512694488
388	0.2511548134
389	0.251103148
390	0.2509326611
391	0.2507892684
392	0.2507220506
393	0.2506051449
394	0.2504751609
395	0.2502170946
396	0.2500623318
397	0.2499633721
398	0.2498528595
399	0.2498518136
400	0.2496147476
401	0.2495643399
402	0.249381519
403	0.2493145916
404	0.2491782179
405	0.2490747583
406	0.2489716651
407	0.2488460137
408	0.2486819257
409	0.2485313953
410	0.2484847898
411	0.2482953581
412	0.2482880471
413	0.2482117442
414	0.2481673906
415	0.2480401531
416	0.2479281549
417	0.247910726
418	0.2478688689
419	0.2478045786
420	0.247629812
421	0.2476240226
422	0.2475824899
423	0.2474089371
424	0.2473505654
425	0.2472193955
426	0.2471716489
427	0.2470042177
428	0.246963182
429	0.2468067662
430	0.2466998205
431	0.2466924534
432	0.2466550018
433	0.2466469237
434	0.2464949442
435	0.246323933
436	0.246251695
437	0.2460986809
438	0.2460272946
439	0.2460183789
440	0.2459788147
441	0.2459232842
442	0.2457831709
443	0.2457342538
444	0.2456910066
445	0.2456433363
446	0.2456401711
447	0.2455918703
448	0.2455149369
449	0.2454224743
450	0.2452344557
451	0.2451990366
452	0.2451734232
453	0.2450375093
454	0.2449903256
455	0.2449583013
456	0.24489429
457	0.2447416671
458	0.244716824
459	0.2447061683
460	0.2447010097
461	0.2446494408
462	0.2445944166
463	0.244583954
464	0.244476424
465	0.2443994646
466	0.2443390539
467	0.2443325382
468	0.2442951019
469	0.2442782694
470	0.2441351438
471	0.2441279216
472	0.2441128729
473	0.2441107614
474	0.2439582927
475	0.2439196667
476	0.243789739
477	0.2437126815
478	0.2436449007
479	0.2435776924
480	0.2435732266
481	0.2434054125
482	0.2433726294
483	0.2433127372
484	0.2433080404
485	0.2433005846
486	0.2432060808
487	0.2431618865
488	0.2430968174
489	0.243066503
490	0.2428982106
491	0.2428730479
492	0.2428357864
493	0.2427757361
494	0.2427702777
495	0.2426091484
496	0.2425597925
497	0.2425154382
498	0.2424870981
499	0.2424618027
500	0.2424193056
501	0.242414842
502	0.242365198
503	0.2421933503
504	0.2421637411
505	0.2421517701
506	0.242043367
507	0.2419268782
508	0.2419153466
509	0.2419147879
510	0.2419112616
511	0.2419015202
512	0.2418312726
513	0.2416829116
514	0.2416447235
515	0.241627204
516	0.241618971
517	0.2415822924
518	0.2414116385
519	0.2412538463
520	0.2411637034
521	0.2411145878
522	0.2411124711
523	0.2411092644
524	0.2410707437
525	0.2410576678
526	0.2410482621
527	0.2409503432
528	0.2409141022
529	0.2408583287
530	0.2407271745
531	0.2406374136
532	0.2406345068
533	0.2406278458
534	0.2406258391
535	0.2406238101
536	0.2406025633
537	0.2405965407
538	0.2404038613
539	0.24037399
540	0.2402016229
541	0.2401997569
542	0.2401755192
543	0.24007927
544	0.2400434884
545	0.2399890812
546	0.2399322325
547	0.2398637971
548	0.2398376809
549	0.2398084631
550	0.2397983774
551	0.2396507558
552	0.2396434441
553	0.2395804097
554	0.2394594299
555	0.2394360023
556	0.2394330907
557	0.2393530183
558	0.2392288636
559	0.2391637554
560	0.2391371816
561	0.2391333548
562	0.2391089035
563	0.2389829477
564	0.2389186039
565	0.2389167572
566	0.2388445766
567	0.2387239892
568	0.2385746031
569	0.2385681712
570	0.238405785
571	0.2382585119
572	0.2382018104
573	0.2381913199
574	0.2381644946
575	0.2381429555
576	0.2380170231
577	0.2379791735
578	0.2378940381
579	0.2377625957
580	0.2377180909
581	0.2376009903
582	0.2375988859
583	0.2374772049
584	0.2374285001
585	0.2373801171
586	0.2372988969
587	0.2371359013
588	0.2370370982
589	0.2369812553
590	0.2369431833
591	0.2368141802
592	0.236770206
593	0.2367531924
594	0.2367507931
595	0.2366009315
596	0.2365818275
597	0.2365678479
598	0.2365318618
599	0.2365296552
600	0.2365270135
601	0.2364738678
602	0.2364468754
603	0.2364452579
604	0.2363664568
605	0.2363639994
606	0.2363370803
607	0.236299084
608	0.2362519668
609	0.2362061342
610	0.2361032583
611	0.2360813326
612	0.2360794986
613	0.236060293
614	0.2359943453
615	0.2358587281
616	0.2357946207
617	0.2357577394
618	0.2357349176
619	0.2357330228
620	0.2356826108
621	0.2356806448
622	0.2356457931
623	0.2355740989
624	0.2355357904
625	0.2355143413
626	0.2354765879
627	0.2354181127
628	0.2354162719
629	0.235270732
630	0.2351363625
631	0.2351046307
632	0.2351028616
633	0.2350724033
634	0.235002464
635	0.2349752337
636	0.2349418915
637	0.2349207295
638	0.2347966311
639	0.2347887694
640	0.234668671
641	0.2346484549
642	0.2345642482
643	0.2345288933
644	0.2344115456
645	0.2344075313
646	0.2343839989
647	0.2343373776
648	0.2343050559
649	0.2341720204
650	0.2341073532
651	0.2340652817
652	0.2339611063
653	0.2339590713
654	0.2339141888
655	0.2337666856
656	0.2337048884
657	0.2336297634
658	0.2334667276
659	0.2334423221
660	0.2333183536
661	0.2331840053
662	0.2331798448
663	0.233039583
664	0.2329685354
665	0.2329080122
666	0.2328792635
667	0.232770228
668	0.2327142686
669	0.2326800217
670	0.2325485013
671	0.2325106383
672	0.2324878491
673	0.2324477038
674	0.2324212768
675	0.2323900118
676	0.2322641176
677	0.2321683372
678	0.2321517294
679	0.2321424787
680	0.2320930606
681	0.2319927153
682	0.2319268483
683	0.2318889753
684	0.2317650554
685	0.231678264
686	0.2315417155
687	0.2314000206
688	0.2313681467
689	0.2313317135
690	0.2312492741
691	0.2312333331
692	0.2312316223
693	0.2311662
694	0.2311496174
695	0.2310887179
696	0.2310430551
697	0.231020411
698	0.2310190441
699	0.2309233001
700	0.2308786456
701	0.2308246367
702	0.2307751502
703	0.2307457947
704	0.2307399283
705	0.2307124558
706	0.2306048115
707	0.2304986488
708	0.2303820354
709	0.2303711573
710	0.2302877201
711	0.2302661017
712	0.2302443185
713	0.2302116055
714	0.2301678401
715	0.2300804442
716	0.2300382869
717	0.229933014
718	0.2298792357
719	0.2298437986
720	0.2297379094
721	0.2296732373
722	0.2296158268
723	0.229564784
