dissim	el0	el1	el2	el3	el4	el5	el6	el7	el8	el9	el10	el11	el12	el13	el14	el15	max_el	diff	diffplus	diffminus	std	diff/std**0.2	diff/std**0.6	diff/std**1	diff/std**1.4	diff/std**2	maxmiddle	similarwindow_4.0	similarwindow_4.1	similarwindow_4.2	similarwindow_4.3	stat0	stat1	stat2	stat3	stat4	stat5	stat6	stat7	stat8	stat9	stat10	stat11	stat12	stat13	stat14	stat15	stat16	stat17	stat18	stat19	stat20	stat21	stat22	stat23	stat24	stat25	stat26	stat27	stat28	stat29	stat30	stat31	stat32	stat33	stat34	stat35	stat36	stat37	stat38	stat39	stat40	stat41	stat42	stat43	stat44	class
0.010464	0.1169	0.16432	0.14271	0.23389	0.06572	0.15317	0.13506	0.20497	0.23395	0.24888	0.094042	0.0098135	0.010088	0.014193	0.0094228	0.011618	0.24888	0.18341	0.092365	-0.09104	0.04236	0.21737	0.30504	0.42298	0.56337	0.65633	0.35156	0.19353	0.77183	0.81523	0.82818	0.0089451	0.020737	0.046634	0.086476	0.03358	0.075885	0.069262	0.1047	0.11966	0.12373	0.045149	0.0049568	0.0041851	0.0039596	0.0009488	0.0059874	0.2495	0.26649	0.23392	0.25391	0.029177	0.11101	0.013212	0.097772	-0.040991	0.10733	0.11263	0.092986	0.073529	0.073849	0.1412	0.13087	0.022229	0.082013	-0.057804	0.10698	0.16192	-0.01191	0.14879	0.095347	-0.0040465	-0.039585	0.003296	-0.022889	1.9697	446
0.015485	0.11288	0.1298	0.11137	0.12458	0.16504	0.18586	0.24862	0.35858	0.41442	0.31136	0.19374	0.012873	0.020457	0.01296	0.016488	0.015839	0.41442	0.23433	0.11279	-0.12153	0.060249	0.25886	0.31587	0.38258	0.45317	0.50611	0.39062	0.15196	0.69825	0.83434	0.83283	0.06296	0.042821	0.028657	0.017243	0.046919	0.08774	0.10255	0.1796	0.20984	0.15682	0.09943	0.0070479	0.00353	0.0021219	0.0030607	0.0049529	0.24308	0.32102	0.26058	0.28162	0.1288	0.053856	0.13439	0.086014	-0.14118	0.051553	0.058245	0.14142	0.12787	0.13438	0.11177	0.045001	0.090569	-0.11809	0.1413	-0.13986	-0.074967	-0.061318	0.00068937	-0.019395	-0.046779	-0.042112	-0.033143	-0.037397	1.8259	455
0.010243	0.067662	0.059741	0.028479	0.2143	0.052347	0.097877	0.13039	0.27037	0.15096	0.031025	0.033621	0.0051567	0.014172	0.0087593	0.010745	0.0038036	0.27037	0.13551	0.087035	-0.048478	0.030179	0.17186	0.27582	0.43463	0.63919	0.70921	0.50781	0.19059	0.20991	0.47782	0.55939	0.036743	0.036184	0.015376	0.11318	0.027488	0.061223	0.08797	0.14455	0.081634	0.015708	0.0043911	0.0019317	0.0049263	0.0019732	0.0013265	0.0025782	0.23201	0.26781	0.22847	0.24596	0.05256	-0.13122	0.058007	0.080159	0.08622	-0.049292	-0.11046	-0.063052	-0.045935	0.12794	0.073913	0.10067	0.12666	0.090419	-0.12481	-0.10193	0.43259	0.22225	0.29681	0.30674	0.13446	0.021179	0.065608	0.061287	1.6455	322
0.0089811	0.085987	0.096826	0.030579	0.19009	0.069834	0.074987	0.092522	0.21898	0.13739	0.029661	0.16201	0.01147	0.013806	0.0093131	0.0128	0.0059001	0.21898	0.08057	0.028954	-0.051616	0.029636	0.10255	0.16577	0.26299	0.38862	0.42895	0.53125	0.15539	0.20991	0.45744	0.53866	0.018126	0.053942	0.013923	0.018364	0.0091605	0.033972	0.051238	0.11655	0.075377	0.010362	0.063163	0.0030129	0.0022393	0.0013191	0.00312	0.00075041	0.23511	0.24731	0.21175	0.23249	-0.043808	0.13952	0.04606	-0.097438	-0.1304	0.02308	-0.050392	0.07217	0.043126	0.12986	0.14048	-0.055895	0.10413	0.045777	-0.13221	-0.12749	0.29188	0.25709	0.38057	0.30508	0.059913	0.038554	0.1248	0.067948	1.705	390
0.018307	0.085173	0.25681	0.26284	0.36687	0.34197	0.32358	0.33613	0.31703	0.24824	0.22342	0.19705	0.021249	0.0089695	0.01241	0.0072523	0.0096932	0.36687	0.372	0.20632	-0.16569	0.066619	0.40279	0.47227	0.55015	0.62902	0.68408	0.21094	0.17787	1.114	1.3665	1.1781	0.031162	0.13826	0.14184	0.19765	0.18176	0.16607	0.17148	0.15896	0.12435	0.11202	0.084441	0.011744	0.0032831	0.0015305	0.0024014	0.0039081	0.19055	0.36993	0.24989	0.29369	-0.10826	0.060785	0.058532	0.060113	0.073609	0.11174	0.11881	0.14003	0.14126	0.14012	-0.12188	0.036563	-0.056984	-0.13994	-0.036925	-0.1234	-0.031835	-0.011395	0.015507	0.084348	-0.0467	-0.053526	-0.048899	-0.029025	2.0202	3056
0.0097667	0.04781	0.081152	0.074138	0.1495	0.085599	0.21044	0.22367	0.29781	0.26127	0.18572	0.084556	0.0058441	0.016777	0.0092042	0.0051327	0.0090891	0.29781	0.21452	0.11969	-0.094834	0.035121	0.26394	0.39894	0.5939	0.83727	0.96048	0.33594	0.15905	0.71472	0.90583	0.95346	0.018579	0.022425	0.025045	0.079889	0.043656	0.10543	0.1125	0.16209	0.13764	0.09355	0.042599	0.0010896	0.00020217	0.002304	0.0023491	0.001003	0.28267	0.31191	0.27949	0.29621	0.060859	0.020858	-0.044759	0.068129	0.11915	0.14102	0.1361	0.050409	0.082774	0.13426	0.13406	0.037939	-0.14139	0.090664	0.034441	-0.098459	0.25124	0.049003	0.19185	0.15602	0.014929	-0.039154	-0.0034164	-0.019113	1.9148	461
0.0051987	0.048777	0.046643	0.10931	0.030234	0.023262	0.06036	0.071713	0.2056	0.028662	0.023511	0.019673	0.0036386	0.01956	0.012464	0.008791	0.0053601	0.2056	0.068315	0.032767	-0.035548	0.018463	0.095563	0.18621	0.35099	0.57381	0.50947	0.5625	0.13604	0.20902	0.14803	0.14464	0.023368	0.023487	0.045108	0.015144	0.0078211	0.025586	0.023308	0.10403	0.014839	0.0085037	0.0058668	0.0010182	0.0016592	0.0016382	0.00073856	0.0008254	0.30601	0.32473	0.3007	0.31102	0.070968	0.13468	0.1149	0.14134	-0.11763	0.052862	0.03563	0.1287	-0.081077	0.12216	-0.095257	0.13209	0.063258	0.12262	0.13939	-0.10444	0.31327	0.27165	0.30953	0.2977	0.030088	0.012494	0.030163	0.023918	1.3831	318
0.020488	0.17202	0.11102	0.41812	0.47117	0.33057	0.17054	0.18443	0.28442	0.28795	0.39848	0.22036	0.011595	0.017536	0.022184	0.013556	0.012506	0.47117	0.38809	0.25573	-0.13237	0.06633	0.42058	0.49397	0.5764	0.66006	0.71874	0.20312	0.14864	0.46058	0.55805	0.76127	0.054543	0.05955	0.22221	0.25753	0.18683	0.11031	0.12803	0.18047	0.16414	0.22009	0.12373	0.0039947	0.00030939	0.0053802	0.0069	0.00231	0.098361	0.30763	0.18106	0.2379	0.052606	0.064409	0.073712	0.046516	0.017735	-0.065875	-0.093626	-0.056672	0.010973	0.037105	0.023056	0.018803	0.058456	0.14117	0.1215	0.14011	0.1749	0.067497	0.019458	0.21641	-0.0036248	-0.036668	-0.037096	0.019984	1.9165	1233
0.014495	0.10254	0.15223	0.098498	0.1597	0.1886	0.30762	0.38373	0.33566	0.23527	0.17901	0.16215	0.0067633	0.01691	0.0063866	0.010472	0.012755	0.38373	0.27106	0.13276	-0.1383	0.054497	0.3055	0.38794	0.48843	0.59889	0.68279	0.36719	0.22414	0.69874	0.87526	0.82438	0.049843	0.060726	0.049483	0.081457	0.094503	0.15893	0.19232	0.1696	0.11789	0.087814	0.090142	0.0025781	0.0038709	0.0012059	0.0018679	0.0033773	0.29976	0.39403	0.29856	0.33933	-0.054766	-0.059542	0.13762	0.11905	0.14089	0.1041	0.14059	0.13043	0.14084	0.13106	0.13598	0.032298	-0.13458	0.12851	0.12845	0.059116	-0.0065157	-0.054857	-0.023802	-0.005938	-0.049628	-0.057697	-0.057568	-0.052316	1.9381	412
0.016117	0.25124	0.12132	0.41555	0.4824	0.057235	0.028401	0.011326	0.012121	0.036764	0.021832	0.025621	0.021662	0.026705	0.022427	0.014744	0.023896	0.4824	0.1389	0.09781	-0.04109	0.034067	0.17194	0.26304	0.3961	0.56334	0.64289	0.38281	0.058973	0.17529	0.22136	0.31815	0.083845	0.06347	0.24828	0.26275	0.024021	0.0051716	0.0052138	0.0051281	0.019112	0.011749	0.003595	0.00061254	0.01178	0.0059333	0.0027735	0.0080896	0.10903	0.29055	0.22868	0.22618	0.14142	0.09021	-0.022414	-0.097948	-0.093379	0.13054	-0.097499	0.10424	0.097158	0.061171	0.12411	-0.12844	0.13569	-0.021514	0.00092073	0.12942	0.24922	0.37313	0.30659	0.43908	-0.0021779	0.065114	0.024632	0.13455	1.0245	466.5
0.019219	0.057861	0.1147	0.14011	0.29656	0.39069	0.37432	0.34379	0.42055	0.3351	0.31402	0.29811	0.17218	0.0079231	0.0081753	0.0096941	0.0081679	0.42055	0.40801	0.24416	-0.16384	0.06919	0.43845	0.50639	0.58129	0.65571	0.705	0.26562	0.34448	0.93201	1.0157	0.93446	0.0028032	0.038499	0.041761	0.17307	0.22054	0.21519	0.18307	0.22376	0.17053	0.1585	0.15131	0.084464	0.00024542	0.0020219	0.0024952	0.0011498	0.27664	0.35114	0.30157	0.32743	0.073712	0.11633	-0.13178	-0.0064877	0.018736	0.0044773	0.071647	0.072509	0.12172	0.12752	0.12489	0.12642	0.0086587	0.13642	-0.14074	-0.041785	0.19947	-0.1023	0.036715	0.043803	0.00095481	-0.0445	-0.042072	-0.046257	2.0621	544.5
0.010955	0.1311	0.1316	0.21235	0.18152	0.15753	0.19947	0.25631	0.25387	0.17251	0.076921	0.16239	0.0062913	0.0099177	0.0065342	0.0049498	0.0052586	0.25631	0.23359	0.14357	-0.090024	0.035261	0.28718	0.43337	0.64419	0.90711	1.0413	0.25781	0.13392	0.63738	0.6589	0.70842	0.047037	0.086085	0.10342	0.095947	0.080095	0.10815	0.13588	0.13315	0.089281	0.0393	0.081341	0.00096703	0.0039073	0.00086124	0.0013326	0.0021575	0.20866	0.25281	0.25055	0.24534	0.045743	-0.070901	-0.11341	0.079277	0.12284	0.054013	0.076182	0.087504	0.10217	0.11705	0.14131	-0.0397	-0.13399	-0.12626	0.11175	0.069173	0.41733	0.11419	0.32252	0.26097	0.11464	-0.018422	0.056239	0.025604	1.7715	367
0.010681	0.086878	0.13074	0.062424	0.3106	0.06129	0.2269	0.15851	0.32164	0.24467	0.04446	0.13139	0.006279	0.0084018	0.0067789	0.009258	0.0078292	0.32164	0.21963	0.11468	-0.10494	0.035968	0.26894	0.40267	0.5941	0.83174	0.95752	0.28906	0.10239	0.57034	0.69699	0.72812	0.044253	0.049057	0.036797	0.15736	0.032911	0.11373	0.084187	0.16979	0.12353	0.022632	0.066997	0.0022262	0.003185	0.0025187	0.0027992	0.0022488	0.24524	0.27889	0.22415	0.25547	0.029181	0.011577	-0.13805	0.12714	0.063337	0.14053	0.074355	0.080658	0.13145	0.12138	0.10609	-0.119	0.016413	-0.058587	-0.12224	-0.083086	0.38885	0.15947	0.35317	0.28335	0.092996	-0.0054167	0.087853	0.039541	1.7216	361.5
0.018512	0.10731	0.25916	0.2775	0.2812	0.30012	0.38968	0.42453	0.3772	0.27572	0.11426	0.21142	0.010817	0.014859	0.0097992	0.012318	0.017632	0.42453	0.38963	0.24519	-0.14444	0.063377	0.4261	0.5096	0.60523	0.70432	0.77668	0.27344	0.3149	0.45658	0.9302	1.012	0.02215	0.14982	0.14668	0.17477	0.17093	0.20563	0.2348	0.20203	0.14551	0.060282	0.11234	0.0057528	0.0043777	0.0036544	0.0041999	0.0047907	0.1972	0.31903	0.24369	0.27675	0.0030821	0.00030683	0.079307	-0.045835	0.011641	0.081063	0.035929	0.065864	0.08095	0.08125	0.073869	0.025757	-0.11702	-0.10812	0.10405	0.06536	0.41356	-0.0547	0.12411	0.12543	0.15668	-0.053111	-0.0002516	-0.027924	1.9486	243.5
